combo,entry_time,exit_time,side,entry_price,exit_price,pnl_bps,reason,btc_trend
BTC_1h_EMA50/200,2025-11-17 23:30:00,2025-11-18 15:15:00,SHORT,2.1511,2.2062357094095146,-256.3140226373233,SL,DOWN
BTC_1h_EMA50/200,2025-11-20 06:45:00,2025-11-20 16:00:00,SHORT,2.1238,2.0613068258149787,294.2516912375055,TP,DOWN
BTC_1h_EMA50/200,2025-11-20 23:30:00,2025-11-21 07:30:00,SHORT,2.0175,1.9436741247507046,365.9275105293458,TP,DOWN
BTC_1h_EMA50/200,2025-11-21 15:45:00,2025-11-21 17:15:00,SHORT,1.9186,1.9859964769827494,-351.2794588905937,SL,DOWN
BTC_1h_EMA50/200,2025-11-21 20:00:00,2025-11-23 02:15:00,SHORT,1.9468,2.0189148682607327,-370.4277186189267,SL,DOWN
BTC_1h_EMA50/200,2025-11-23 07:30:00,2025-11-23 15:30:00,SHORT,2.0185,2.06291778997756,-220.05345542511748,SL,DOWN
BTC_1h_EMA50/200,2025-11-23 21:15:00,2025-11-24 02:15:00,SHORT,2.0579,2.0947256856385725,-178.94788686803278,SL,DOWN
BTC_1h_EMA50/200,2025-11-24 04:30:00,2025-11-24 05:00:00,SHORT,2.0506,2.093385597861149,-208.64916542060314,SL,DOWN
BTC_1h_EMA50/200,2025-12-01 09:15:00,2025-12-01 15:30:00,SHORT,2.047,1.9940821995872304,258.51392483033567,TP,DOWN
BTC_1h_EMA50/200,2025-12-01 18:30:00,2025-12-01 21:30:00,SHORT,2.0046,2.0417641651509837,-185.39441859215682,SL,DOWN
BTC_1h_EMA50/200,2025-12-02 00:15:00,2025-12-02 14:15:00,SHORT,2.0217,2.0586384082469698,-182.70964162323637,SL,DOWN
BTC_1h_EMA50/200,2025-12-02 23:30:00,2025-12-03 04:45:00,SHORT,2.1586,2.1945616266524857,-166.59699181175677,SL,DOWN
BTC_1h_EMA50/200,2025-12-06 17:45:00,2025-12-07 03:00:00,SHORT,2.028,2.0501396154875353,-109.16970161506555,SL,DOWN
BTC_1h_EMA50/200,2025-12-13 14:30:00,2025-12-14 11:30:00,SHORT,2.0272,1.9975936454188732,146.0455533796711,TP,DOWN
BTC_1h_EMA50/200,2025-12-15 06:15:00,2025-12-15 13:15:00,SHORT,1.9946,1.962015046263528,163.36585649489606,TP,DOWN
BTC_1h_EMA50/200,2025-12-15 23:30:00,2025-12-16 11:15:00,SHORT,1.8909,1.91819813131151,-144.36581157919474,SL,DOWN
BTC_1h_EMA50/200,2025-12-16 21:15:00,2025-12-17 14:45:00,SHORT,1.9221,1.9542643097877797,-167.33941932146993,SL,DOWN
BTC_1h_EMA50/200,2025-12-19 23:15:00,2025-12-20 08:30:00,SHORT,1.9019,1.935049179190092,-174.2950690892895,SL,DOWN
BTC_1h_EMA50/200,2025-12-20 13:15:00,2025-12-22 20:15:00,SHORT,1.9296,1.8911548380509404,199.23902336784596,TP,DOWN
BTC_1h_EMA50/200,2025-12-23 19:30:00,2025-12-24 05:30:00,SHORT,1.8791,1.843162619744934,191.24783276603688,TP,DOWN
BTC_1h_EMA50/200,2025-12-24 10:00:00,2025-12-24 11:00:00,SHORT,1.8532,1.87396655627411,-112.05782578302369,SL,DOWN
BTC_1h_EMA50/200,2025-12-24 14:45:00,2025-12-25 15:45:00,SHORT,1.865,1.8841541052996578,-102.70297747805779,SL,DOWN
BTC_1h_EMA50/200,2025-12-28 18:00:00,2025-12-29 01:30:00,SHORT,1.8674,1.8782906285332304,-58.31974152956205,SL,DOWN
BTC_1h_EMA50/200,2025-12-30 07:30:00,2025-12-30 14:45:00,SHORT,1.857,1.8725552738660143,-83.76561047934463,SL,DOWN
BTC_1h_EMA50/200,2026-01-03 09:30:00,2026-01-04 04:15:00,LONG,2.0143,2.0642770137058024,248.11107434742803,TP,UP
BTC_1h_EMA50/200,2026-01-04 17:00:00,2026-01-05 01:15:00,LONG,2.0906,2.1346433105227813,210.67306286607453,TP,UP
BTC_1h_EMA50/200,2026-01-05 07:15:00,2026-01-05 16:15:00,LONG,2.1318,2.180933262466623,230.47782374811413,TP,UP
BTC_1h_EMA50/200,2026-01-06 10:15:00,2026-01-06 16:15:00,LONG,2.3544,2.30545458841341,-207.88910799604966,SL,UP
BTC_1h_EMA50/200,2026-01-06 21:30:00,2026-01-07 14:00:00,LONG,2.2782,2.219223693072831,-258.87238577459806,SL,UP
BTC_1h_EMA50/200,2026-01-08 01:15:00,2026-01-08 06:00:00,LONG,2.1788,2.1373769502701303,-190.11864205007137,SL,UP
BTC_1h_EMA50/200,2026-01-08 15:15:00,2026-01-08 17:45:00,LONG,2.0997,2.161695836119138,295.2604472978899,TP,UP
BTC_1h_EMA50/200,2026-01-09 00:45:00,2026-01-09 08:45:00,LONG,2.1331,2.0920804325514744,-192.3002552553835,SL,UP
BTC_1h_EMA50/200,2026-01-09 13:30:00,2026-01-09 15:30:00,LONG,2.1035,2.15795347171146,258.87079492018165,TP,UP
BTC_1h_EMA50/200,2026-01-14 14:15:00,2026-01-15 02:45:00,LONG,2.1322,2.1010320049050484,-146.17763387558256,SL,UP
BTC_1h_EMA50/200,2026-01-15 07:45:00,2026-01-15 15:45:00,LONG,2.1025,2.0708442389430504,-150.56247827324458,SL,UP
BTC_1h_EMA50/200,2026-01-15 22:00:00,2026-01-16 15:15:00,LONG,2.0728,2.04214235764332,-147.90448840544192,SL,UP
BTC_1h_EMA50/200,2026-01-19 20:45:00,2026-01-20 02:15:00,SHORT,2.003,1.9614696541426864,207.34071820925485,TP,DOWN
BTC_1h_EMA50/200,2026-01-21 07:45:00,2026-01-21 14:15:00,SHORT,1.9082,1.9337959728812835,-134.13674080957747,SL,DOWN
BTC_1h_EMA50/200,2026-01-21 23:45:00,2026-01-25 16:00:00,SHORT,1.9462,1.8813740111212203,333.09006720162193,TP,DOWN
BTC_1h_EMA50/200,2026-01-25 22:30:00,2026-01-26 00:00:00,SHORT,1.8208,1.8431303476736582,-122.64031015849224,SL,DOWN
BTC_1h_EMA50/200,2026-01-26 10:00:00,2026-01-26 13:00:00,SHORT,1.8787,1.9031637388041895,-130.21631343050782,SL,DOWN
BTC_1h_EMA50/200,2026-01-27 00:15:00,2026-01-27 20:45:00,SHORT,1.9004,1.9267919206215103,-138.87560840617863,SL,DOWN
BTC_1h_EMA50/200,2026-01-29 13:45:00,2026-01-29 14:30:00,SHORT,1.8736,1.8446746753368912,154.38367134451704,TP,DOWN
BTC_1h_EMA50/200,2026-01-29 22:15:00,2026-01-30 01:30:00,SHORT,1.8024,1.7576227991105993,248.43098584887227,TP,DOWN
BTC_1h_EMA50/200,2026-01-30 05:45:00,2026-01-31 08:15:00,SHORT,1.7642,1.7076735978976565,320.4081289102341,TP,DOWN
BTC_1h_EMA50/200,2026-02-01 05:45:00,2026-02-01 15:15:00,SHORT,1.658,1.5876380974991362,424.3781815492383,TP,DOWN
BTC_1h_EMA50/200,2026-02-01 19:15:00,2026-02-02 03:15:00,SHORT,1.6084,1.5456085785014793,390.39680115966667,TP,DOWN
BTC_1h_EMA50/200,2026-02-02 18:30:00,2026-02-03 17:00:00,SHORT,1.6358,1.5710732821909927,395.688457079149,TP,DOWN
BTC_1h_EMA50/200,2026-02-03 23:00:00,2026-02-04 16:45:00,SHORT,1.5874,1.5193952696070823,428.40324047447183,TP,DOWN
BTC_1h_EMA50/200,2026-02-04 20:15:00,2026-02-05 01:15:00,SHORT,1.5391,1.4784391623824373,394.1318797840464,TP,DOWN
BTC_1h_EMA50/200,2026-02-06 08:30:00,2026-02-06 10:15:00,SHORT,1.2886,1.3598308030008064,-552.7766801242155,SL,DOWN
BTC_1h_EMA50/200,2026-02-06 21:45:00,2026-02-11 15:00:00,SHORT,1.453,1.3479654563903982,722.8805478981545,TP,DOWN
BTC_1h_EMA50/200,2026-02-13 20:15:00,2026-02-14 08:00:00,SHORT,1.4061,1.4311266643605758,-177.9863762220033,SL,DOWN
BTC_1h_EMA50/200,2026-02-14 13:30:00,2026-02-14 16:45:00,SHORT,1.4528,1.474186202226077,-147.20678845041917,SL,DOWN
BTC_1h_EMA50/200,2026-02-19 03:15:00,2026-02-19 13:30:00,SHORT,1.4232,1.3906240848636946,228.89204002463057,TP,DOWN
BTC_1h_EMA50/200,2026-02-19 18:00:00,2026-02-20 00:15:00,SHORT,1.395,1.4181481165800889,-165.9363195705295,SL,DOWN
BTC_1h_EMA50/200,2026-02-23 22:45:00,2026-02-24 04:15:00,SHORT,1.3606,1.3235519920296805,272.29169462236865,TP,DOWN
BTC_1h_EMA50/200,2026-02-24 12:45:00,2026-02-24 15:15:00,SHORT,1.3304,1.3516934536480156,-160.05301900192126,SL,DOWN
BTC_1h_EMA50/200,2026-02-24 19:30:00,2026-02-25 01:00:00,SHORT,1.3509,1.373814793502844,-169.6261270474793,SL,DOWN
BTC_1h_EMA50/200,2026-02-25 05:00:00,2026-02-25 12:30:00,SHORT,1.3679,1.3927110141001477,-181.38032093097345,SL,DOWN
BTC_1h_EMA50/200,2026-02-25 22:45:00,2026-02-26 15:15:00,SHORT,1.4563,1.4140120884343206,290.37912219789433,TP,DOWN
BTC_1h_EMA50/200,2026-02-26 20:00:00,2026-02-27 12:30:00,LONG,1.4061,1.376626619085842,-209.61084499081045,SL,UP
BTC_1h_EMA50/200,2026-02-28 03:45:00,2026-02-28 06:15:00,SHORT,1.3538,1.3252483835352489,210.8998113809353,TP,DOWN
BTC_1h_EMA50/200,2026-02-28 17:45:00,2026-02-28 18:45:00,SHORT,1.316,1.3459815713383587,-227.8234904130597,SL,DOWN
BTC_1h_EMA50/200,2026-03-01 01:15:00,2026-03-01 01:45:00,SHORT,1.368,1.3977763124174114,-217.66310246645685,SL,DOWN
BTC_1h_EMA50/200,2026-03-01 06:15:00,2026-03-01 20:00:00,SHORT,1.3986,1.3497730570314015,349.11299133847115,TP,DOWN
BTC_1h_EMA50/200,2026-03-05 04:30:00,2026-03-05 16:00:00,LONG,1.427,1.3991973150301713,-194.8331112111334,SL,UP
BTC_1h_EMA50/200,2026-03-05 19:15:00,2026-03-06 04:30:00,LONG,1.4186,1.3906619840405547,-196.9407582084121,SL,UP
BTC_1h_EMA50/200,2026-03-06 19:15:00,2026-03-08 04:45:00,LONG,1.3638,1.3427991426919719,-153.9878083885323,SL,UP
BTC_1h_EMA50/200,2026-03-08 11:15:00,2026-03-08 16:30:00,SHORT,1.3588,1.3390946850792858,145.01998028197127,TP,DOWN
